EmployeeNumber;StandardHours;Typeofcontract;Age;Gender;MaritalStatus;Education;EducationField;BusinessTravel;DistanceFromHome;Department;JobLevel;JobRole;Salaryineuros;PensionPlan;OverTime;PerformanceRating;PercentageSalaryincrease;TalentStatus;Sicknessdays;NumCompaniesWorked;TotalWorkingYears;TrainingTimes;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager;YearsInCurrentRoleCat;RecruitmentCosts;EnvironmentSatisfaction;ManagerSatisfaction;JobInvolvement;JobSatisfaction;JobSatisfactionCont;Flightrisklikelihoodin2021;Leftthecompanyin2022;OverTimeVal;PensionPlanVal;TalentStatusVal;JobRoleVal;BusinessTravelVal;EducationFieldVal;MaritalStatusVal;GenderVal;TypeOfContractVal;DepartmentValt;EducationVal
EMPLID005345;40;Permanent;41;Male;Married;BsC;Marketing & Sales;Travel_Rarely;1;Local Branch;3;Branch Representative;100704;Yes;No;2;16;Contributor B;6;1;10;2;3;10;7;0;7; ;11077;2;3;4;3;75;36;0;0;1;3;1;1;3;1;2;1;3;2
EMPLID005365;40;Permanent;28;Male;Divorced;Associate's degree;Business Administration;Travel_Rarely;17;Local Branch;2;Call center agent;54696;Yes;No;3;12;Contributor B;7;1;10;2;3;10;5;1;8; ;2735;3;4;3;4;93;1;0;0;1;3;2;1;5;2;2;1;3;3
EMPLID005385;40;Permanent;25;Male;Married;BsC;Business Administration;Travel_Rarely;3;Local Branch;1;Call center agent;48372;Yes;No;2;13;Contributor B;3;5;6;5;3;2;1;0;2; ;1451;1;3;3;1;5;73;1;0;1;3;2;1;5;1;2;1;3;2
EMPLID005435;40;Permanent;52;Male;Married;BsC;Business Administration;Travel_Rarely;3;Head office;3;Marketeer;95628;Yes;Yes;1;14;Contributor A;7;2;31;4;3;8;7;0;4; ;11475;4;3;2;3;58;4;0;1;1;1;3;1;5;1;2;1;2;2
EMPLID005445;40;Permanent;45;Male;Married;Associate's degree;Finance & Economics;Travel_Rarely;10;Local Branch;1;Financial Advisor;31848;Yes;No;4;21;Rising Star;5;3;8;3;2;2;1;0;2; ;318;1;4;3;3;71;22;0;0;1;4;5;1;1;1;2;1;3;3
EMPLID005465;40;Permanent;52;Female;Married;Associate's degree;Finance & Economics;Travel_Rarely;4;Management;4;Team Manager;198660;Yes;No;3;13;Contributor A;4;2;31;2;1;5;5;1;4; ;25826;4;4;3;3;62;46;0;0;1;1;8;1;1;1;1;1;1;3
EMPLID005475;40;Temporary;42;Female;Divorced;Associate's degree;Finance & Economics;Travel_Frequently;29;Local Branch;2;Financial Advisor;54672;Yes;No;3;11;Contributor B;9;2;21;3;3;7;6;0;2; ;2187;1;2;3;3;60;33;0;0;1;3;5;3;1;2;1;2;3;3
EMPLID005485;40;Permanent;30;Female;Single;BsC;Finance & Economics;Travel_Rarely;2;Head office;2;Marketeer;73092;Yes;No;4;20;Contributor A;7;2;16;2;3;10;9;0;2; ;6578;3;3;1;3;67;46;0;0;1;1;3;1;1;3;1;1;2;2
EMPLID005495;40;Permanent;60;Female;Married;BsC;Finance & Economics;Travel_Rarely;7;Management;5;Team Manager;234792;Yes;No;2;11;Contributor A;4;5;33;5;1;29;5;11;10; ;35219;1;4;3;2;39;14;0;0;1;1;8;1;1;1;1;1;1;2
EMPLID005505;40;Permanent;46;Female;Divorced;BsC;Business Administration;Travel_Rarely;18;Head office;2;Marketeer;57720;Yes;No;3;14;Contributor B;10;2;22;5;2;13;12;0;8; ;2886;3;3;3;4;86;48;0;0;1;3;3;1;5;2;1;1;2;2
EMPLID005515;40;Permanent;42;Female;Married;MsC;IT & Operations;Travel_Frequently;28;Head office;2;IT developer;54276;Yes;No;1;11;Key Talent;7;0;7;4;4;6;1;0;4; ;3257;4;4;2;4;81;40;0;0;1;2;4;3;4;1;1;1;2;1
EMPLID005545;40;Permanent;24;Female;Single;High school diploma;IT & Operations;Travel_Rarely;1;Head office;1;Office Support function;38424;Yes;Yes;2;16;Contributor A;8;1;8;4;3;7;6;1;4; ;0;1;2;3;1;5;68;1;1;1;1;6;1;4;3;1;1;2;4
EMPLID005555;40;Permanent;34;Female;Divorced;Associate's degree;Marketing & Sales;Travel_Frequently;6;Head office;1;Office Support function;28212;Yes;No;3;16;Contributor B;4;0;7;3;2;6;5;1;0; ;564;4;4;1;1;1;63;1;0;1;3;6;3;3;2;1;1;2;3
EMPLID005565;40;Permanent;38;Male;Married;Associate's degree;Finance & Economics;Travel_Frequently;2;Local Branch;1;Call center agent;20424;Yes;Yes;4;23;Contributor B;5;1;12;3;3;12;11;0;0; ;204;4;3;3;3;53;3;0;1;1;3;2;3;1;1;2;1;3;3
EMPLID005585;40;Permanent;40;Female;Married;MsC;Finance & Economics;Travel_Rarely;2;Management;5;Team Manager;216492;Yes;No;3;14;Contributor A;5;0;21;2;3;20;1;1;12; ;41133;3;4;3;3;68;32;0;0;1;1;8;1;1;1;1;1;1;1
EMPLID005605;40;Permanent;26;Female;Divorced;BsC;Finance & Economics;Travel_Rarely;23;Local Branch;1;Financial Advisor;34632;Yes;No;4;22;Rising Star;5;1;3;3;1;3;1;0;2; ;0;1;2;3;2;31;39;0;0;1;4;5;1;1;2;1;1;3;2
EMPLID005625;40;Temporary;30;Male;Married;BsC;Finance & Economics;Non-Travel;3;Local Branch;1;Call center agent;25164;Yes;No;2;15;Contributor B;8;4;9;3;1;5;1;1;4; ;503;3;3;3;3;60;31;0;0;1;3;2;2;1;1;2;2;3;2
EMPLID005645;40;Temporary;29;Male;Married;MsC;Business Administration;Travel_Rarely;3;Management;3;Branch Manager;143220;Yes;No;2;18;Contributor A;3;1;10;2;3;10;6;0;7; ;15754;2;3;2;4;94;21;0;0;1;1;7;1;5;1;2;2;1;1
EMPLID005655;40;Permanent;29;Female;Married;PhD;IT & Operations;Travel_Rarely;25;Local Branch;1;Financial Advisor;30552;Yes;No;3;16;Contributor A;7;5;13;2;4;9;8;1;1; ;1222;3;2;2;1;8;56;1;0;1;1;5;1;4;1;1;1;3;5
EMPLID005665;40;Permanent;19;Male;Single;Associate's degree;IT & Operations;Travel_Rarely;2;Head office;1;Human Resources;30768;Yes;No;1;12;Contributor A;9;1;3;3;4;3;2;0;0; ;0;1;3;2;1;2;58;1;0;1;1;9;1;4;3;2;1;2;3
EMPLID005675;40;Permanent;30;Female;Married;MsC;Other;Non-Travel;22;Local Branch;3;Branch Representative;100944;Yes;No;1;11;Contributor A;4;0;10;3;3;9;6;7;8; ;9085;3;3;3;3;52;23;0;0;1;1;1;2;2;1;1;1;3;1
EMPLID005685;40;Permanent;57;Male;Divorced;BsC;Marketing & Sales;Travel_Rarely;29;Management;4;Team Manager;169416;Yes;No;3;12;Contributor B;9;3;35;3;2;4;3;0;0; ;23718;1;3;2;4;86;20;0;0;1;3;8;1;3;2;2;1;1;2
EMPLID005695;40;Permanent;50;Male;Married;MsC;Finance & Economics;Travel_Rarely;29;Management;4;Team Manager;204552;Yes;No;1;15;Contributor B;9;0;28;2;3;27;2;15;7; ;30683;2;2;2;4;84;7;0;0;1;3;8;1;1;1;2;1;1;1
EMPLID005715;40;Permanent;30;Female;Single;BsC;Business Administration;Non-Travel;2;Local Branch;1;Call center agent;30768;Yes;No;1;14;Contributor A;6;0;12;2;2;11;9;6;7; ;1231;3;3;3;3;52;9;0;0;1;1;2;2;5;3;1;1;3;2
EMPLID005735;40;Permanent;60;Female;Married;BsC;Marketing & Sales;Travel_Frequently;28;Local Branch;3;Branch Representative;123192;Yes;No;2;19;Contributor A;4;4;22;5;4;18;4;13;11; ;12319;3;4;2;4;78;47;0;0;1;1;1;3;3;1;1;1;3;2
EMPLID005745;40;Permanent;47;Female;Divorced;Associate's degree;Business Administration;Travel_Rarely;2;Head office;2;Marketeer;60840;Yes;No;2;13;Key Talent;6;5;22;2;3;7;6;0;4; ;2434;1;3;3;4;80;16;0;0;1;2;3;1;5;2;1;1;2;3
EMPLID005755;40;Permanent;46;Male;Married;BsC;Finance & Economics;Travel_Rarely;2;Management;4;Branch Manager;214332;Yes;No;2;13;Contributor A;7;6;37;2;1;14;13;0;1; ;32150;1;3;3;1;11;37;0;0;1;1;7;1;1;1;2;1;1;2
EMPLID005775;40;Temporary;35;Male;Single;BsC;Finance & Economics;Travel_Rarely;22;Local Branch;1;Call center agent;50760;Yes;No;1;15;Contributor A;5;0;16;2;3;15;14;4;3; ;2030;4;3;1;3;67;32;0;0;1;1;2;1;1;3;2;2;3;2
EMPLID005785;40;Permanent;54;Female;Single;MsC;Finance & Economics;Travel_Rarely;8;Local Branch;2;Call center agent;45360;Yes;No;3;11;Contributor A;6;7;19;3;3;1;1;0;0; ;2268;3;3;3;2;39;19;0;0;1;1;2;1;1;3;1;1;3;1
EMPLID005795;40;Permanent;34;Male;Divorced;MsC;Finance & Economics;Travel_Rarely;2;Local Branch;1;Financial Advisor;33216;Yes;No;2;12;Contributor B;0;3;14;3;3;7;2;5;7; ;664;4;3;2;2;27;46;0;0;1;3;5;1;1;2;2;1;3;1
EMPLID005805;40;Permanent;46;Female;Married;BsC;Marketing & Sales;Travel_Rarely;10;Local Branch;3;Branch Representative;108852;Yes;Yes;2;19;Contributor B;7;2;21;3;3;9;8;1;2; ;8708;3;3;2;4;96;32;0;1;1;3;1;1;3;1;1;1;3;2
EMPLID005815;40;Temporary;31;Male;Divorced;High school diploma;Finance & Economics;Travel_Rarely;9;Head office;3;Marketeer;127776;Yes;No;4;25;Contributor B;4;1;13;6;4;13;5;0;8; ;11500;3;4;3;4;75;50;0;0;1;3;3;1;1;2;2;2;2;4
EMPLID005825;40;Permanent;33;Male;Married;High school diploma;Business Administration;Travel_Rarely;15;Management;3;Team Manager;163320;Yes;Yes;1;12;Contributor A;7;7;15;2;4;7;4;7;7; ;14699;2;4;3;1;1;72;1;1;1;1;8;1;5;1;2;1;1;4
EMPLID005845;40;Permanent;33;Male;Divorced;High school diploma;Business Administration;Travel_Rarely;10;Local Branch;1;Call center agent;40896;Yes;No;1;13;Key Talent;8;7;16;2;3;12;11;1;3; ;818;1;1;1;2;48;51;1;0;1;2;2;1;5;2;2;1;3;4
EMPLID005855;40;Permanent;30;Male;Single;High school diploma;Marketing & Sales;Travel_Rarely;7;Head office;1;Office Support function;35796;Yes;No;2;14;Contributor A;1;0;14;3;3;13;12;1;2; ;1074;4;1;3;3;53;47;0;0;1;1;6;1;3;3;2;1;2;4
EMPLID005865;40;Permanent;35;Male;Married;BsC;Finance & Economics;Travel_Rarely;16;Head office;3;IT developer;91584;Yes;Yes;2;12;Contributor A;3;4;12;2;3;10;9;0;0; ;8243;4;3;3;4;96;5;0;1;1;1;4;1;1;1;2;1;2;2
EMPLID005875;40;Permanent;31;Male;Married;BsC;IT & Operations;Travel_Frequently;20;Head office;3;IT developer;117888;Yes;No;2;12;Contributor A;6;3;25;2;3;14;13;0;0; ;14147;1;1;3;1;6;50;1;0;1;1;4;3;4;1;2;1;2;2
EMPLID005905;40;Permanent;34;Female;Divorced;BsC;Human Resources;Travel_Frequently;23;Head office;3;Human Resources;119400;Yes;Yes;1;15;Key Talent;3;9;26;2;3;18;17;0;2; ;13134;2;3;3;2;50;93;1;1;1;2;9;3;9;2;1;1;2;2
EMPLID005915;40;Permanent;42;Male;Married;Associate's degree;Other;Travel_Frequently;5;Local Branch;1;Call center agent;25116;Yes;No;3;17;Contributor B;6;4;24;4;3;18;17;2;0; ;1005;2;4;3;4;88;17;0;0;1;3;2;3;2;1;2;1;3;3
EMPLID005925;40;Permanent;36;Male;Single;MsC;Business Administration;Non-Travel;10;Local Branch;3;Branch Representative;119760;Yes;No;2;14;Contributor A;11;1;10;3;2;10;8;9;7; ;14371;2;4;3;3;54;36;0;0;1;1;1;2;5;3;2;1;3;1
EMPLID005935;40;Permanent;22;Male;Single;High school diploma;IT & Operations;Travel_Frequently;4;Local Branch;1;Call center agent;46728;Yes;No;2;16;Contributor A;5;5;7;3;3;5;4;1;2; ;1869;3;3;2;1;22;63;1;0;1;1;2;3;4;3;2;1;3;4
EMPLID005955;40;Permanent;48;Female;Married;PhD;Marketing & Sales;Travel_Rarely;2;Local Branch;2;Branch Representative;48612;Yes;No;3;14;Contributor B;7;2;14;2;3;9;1;6;7; ;2431;2;1;3;4;95;46;0;0;1;3;1;1;3;1;1;1;3;5
EMPLID005975;40;Temporary;55;Female;Single;PhD;Finance & Economics;Travel_Rarely;18;Management;4;Team Manager;202020;Yes;No;4;23;Contributor A;7;3;37;2;3;10;6;7;7; ;26263;1;4;3;3;63;33;0;0;1;1;8;1;1;3;1;2;1;5
EMPLID005995;40;Permanent;41;Male;Single;Associate's degree;Finance & Economics;Non-Travel;10;Local Branch;2;Branch Representative;74760;Yes;No;3;14;Contributor A;9;7;16;3;3;14;5;1;10; ;5981;4;4;3;4;78;8;0;0;1;1;1;2;1;3;2;1;3;3
EMPLID006005;40;Permanent;35;Male;Married;BsC;Marketing & Sales;Travel_Rarely;1;Local Branch;2;Branch Representative;56604;Yes;No;2;11;Contributor A;3;9;15;2;3;11;9;6;9; ;3962;2;3;3;3;67;31;0;0;1;1;1;1;3;1;2;1;3;2
EMPLID006015;40;Permanent;40;Female;Single;BsC;Finance & Economics;Travel_Rarely;6;Head office;4;Marketeer;158844;Yes;No;1;15;Contributor A;4;7;22;3;3;20;13;5;13; ;20650;2;3;3;3;56;8;0;0;1;1;3;1;1;3;1;1;2;2
EMPLID006025;40;Permanent;39;Female;Married;High school diploma;Finance & Economics;Travel_Frequently;8;Local Branch;1;Call center agent;45060;Yes;No;2;11;Contributor B;6;1;18;3;3;18;17;0;7; ;0;3;1;3;4;78;19;0;0;1;3;2;3;1;1;1;1;3;4
EMPLID006045;40;Permanent;31;Male;Single;High school diploma;Finance & Economics;Travel_Rarely;2;Local Branch;2;Branch Representative;78984;Yes;Yes;3;13;Contributor A;7;4;10;2;4;6;5;0;5; ;3949;2;3;3;3;56;24;0;1;1;1;1;1;1;3;2;1;3;4
EMPLID006055;40;Permanent;42;Male;Married;BsC;Business Administration;Travel_Rarely;24;Head office;3;Marketeer;88872;Yes;Yes;4;21;Contributor B;1;1;18;5;2;18;17;5;8; ;7998;4;4;3;3;53;22;0;1;1;3;3;1;5;1;2;1;2;2
EMPLID006065;40;Permanent;45;Male;Married;BsC;Other;Travel_Rarely;2;Local Branch;2;Branch Representative;57660;Yes;No;1;19;Contributor B;6;0;9;3;4;8;1;3;7; ;2883;4;2;3;4;96;36;0;0;1;3;1;1;2;1;2;1;3;2
EMPLID006085;40;Permanent;26;Female;Divorced;MsC;Finance & Economics;Travel_Frequently;17;Head office;1;Human Resources;32892;Yes;Yes;2;11;Contributor B;9;0;8;2;2;7;1;1;0; ;329;2;2;3;2;48;59;1;1;1;3;9;3;1;2;1;1;2;1
EMPLID006115;40;Temporary;29;Male;Divorced;BsC;IT & Operations;Travel_Rarely;19;Head office;2;Marketeer;51144;Yes;No;1;12;Rising Star;6;4;14;2;4;9;8;1;2; ;2557;4;2;3;4;85;28;0;0;1;4;3;1;4;2;2;2;2;2
EMPLID006125;40;Temporary;33;Female;Divorced;PhD;Business Administration;Travel_Rarely;1;Management;4;Branch Manager;194208;Yes;No;2;19;Contributor B;5;4;17;2;3;13;12;0;5; ;27189;1;3;4;4;95;21;0;0;1;3;7;1;5;2;1;2;1;5
EMPLID006135;40;Permanent;31;Male;Divorced;BsC;Finance & Economics;Travel_Rarely;7;Management;3;Team Manager;138684;Yes;No;4;21;Contributor B;4;9;15;3;2;10;9;0;1; ;16642;3;3;2;4;96;9;0;0;1;3;8;1;1;2;2;1;1;2
EMPLID006145;40;Permanent;18;Male;Single;BsC;Marketing & Sales;Travel_Frequently;5;Head office;1;Office Support function;22536;Yes;Yes;2;14;Contributor A;8;1;6;3;3;6;5;0;0; ;225;2;4;3;1;19;77;1;1;1;1;6;3;3;3;2;1;2;2
EMPLID006155;40;Permanent;40;Male;Divorced;BsC;Other;Non-Travel;28;Local Branch;3;Branch Representative;131184;Yes;No;2;15;Contributor B;5;3;35;2;3;16;15;0;1; ;10495;3;3;1;1;12;42;0;0;1;3;1;2;2;2;2;1;3;2
EMPLID006165;40;Permanent;41;Female;Single;MsC;IT & Operations;Non-Travel;2;Head office;2;IT developer;81732;Yes;Yes;1;17;Contributor A;7;2;10;3;3;8;8;0;7; ;7356;1;1;2;3;68;9;0;1;1;1;4;2;4;3;1;1;2;1
EMPLID006185;40;Permanent;26;Male;Divorced;Associate's degree;Business Administration;Travel_Rarely;29;Local Branch;2;Branch Representative;51672;Yes;No;2;12;Rising Star;6;5;13;5;3;5;4;0;0; ;2584;1;1;3;4;86;47;0;0;1;4;1;1;5;2;2;1;3;3
EMPLID006205;40;Permanent;35;Female;Single;BsC;Business Administration;Travel_Rarely;1;Local Branch;2;Branch Representative;58308;Yes;No;3;16;Contributor A;7;1;5;3;3;5;1;0;3; ;4665;1;4;3;4;98;26;0;0;1;1;1;1;5;3;1;1;3;2
EMPLID006215;40;Permanent;34;Male;Single;MsC;Finance & Economics;Travel_Rarely;21;Local Branch;2;Branch Representative;64044;Yes;No;1;12;Contributor A;5;1;10;3;3;10;8;5;7; ;5124;4;4;4;2;37;12;0;0;1;1;1;1;1;3;2;1;3;1
EMPLID006225;40;Permanent;26;Male;Single;BsC;IT & Operations;Travel_Rarely;24;Local Branch;1;Call center agent;28080;Yes;Yes;3;18;Contributor A;5;1;8;3;1;8;7;0;0; ;562;3;2;1;1;23;100;1;1;1;1;2;1;4;3;2;1;3;2
EMPLID006235;40;Permanent;37;Female;Single;BsC;IT & Operations;Travel_Rarely;1;Head office;3;Marketeer;89892;Yes;No;2;17;Contributor A;5;4;15;3;4;9;8;1;2; ;8090;2;4;3;3;62;43;0;0;1;1;3;1;4;3;1;1;2;2
EMPLID006245;40;Permanent;46;Female;Married;High school diploma;IT & Operations;Travel_Frequently;18;Head office;3;IT developer;126324;Yes;No;1;11;Contributor A;3;5;28;3;2;2;1;1;2; ;11369;1;4;3;4;96;9;0;0;1;1;4;3;4;1;1;1;2;4
EMPLID006255;40;Permanent;41;Female;Married;PhD;Finance & Economics;Travel_Rarely;2;Management;4;Team Manager;199140;Yes;No;3;16;Contributor B;7;7;22;2;3;18;9;11;8; ;27880;2;2;3;3;75;11;0;0;1;3;8;1;1;1;1;1;1;5
EMPLID006265;40;Permanent;37;Male;Divorced;MsC;Business Administration;Non-Travel;9;Local Branch;3;Branch Representative;106008;Yes;No;2;13;Contributor B;6;1;9;6;3;9;8;7;7; ;11661;1;4;3;4;82;5;0;0;1;3;1;2;5;2;2;1;3;1
EMPLID006305;40;Temporary;52;Male;Divorced;Associate's degree;IT & Operations;Travel_Rarely;6;Local Branch;2;Financial Advisor;66924;Yes;Yes;1;12;Rising Star;5;3;24;3;3;16;15;6;9; ;4015;4;2;3;3;71;7;0;1;1;4;5;1;4;2;2;2;3;3
EMPLID006315;40;Temporary;32;Male;Married;MsC;Other;Non-Travel;11;Local Branch;2;Branch Representative;56484;Yes;No;1;12;Contributor A;9;8;18;2;3;16;15;1;2; ;4519;4;4;4;1;16;87;1;0;1;1;1;2;2;1;2;2;3;1
EMPLID006325;40;Permanent;24;Male;Married;BsC;Business Administration;Travel_Frequently;24;Head office;1;Office Support function;28800;Yes;No;1;13;Rising Star;8;0;15;3;3;14;13;2;1; ;864;4;3;3;3;57;10;0;0;1;4;6;3;5;1;2;1;2;2
EMPLID006345;40;Permanent;38;Female;Married;BsC;IT & Operations;Travel_Rarely;10;Head office;2;IT developer;117888;Yes;No;3;19;Contributor B;6;3;22;4;3;5;4;0;0; ;7073;3;3;3;4;100;28;0;0;1;3;4;1;4;1;1;1;2;2
EMPLID006355;40;Permanent;37;Female;Married;MsC;Finance & Economics;Travel_Rarely;1;Head office;2;Marketeer;77364;Yes;No;3;12;Contributor B;4;6;10;2;2;8;7;4;3; ;6189;2;2;3;3;53;8;0;0;1;3;3;1;1;1;1;1;2;1
EMPLID006385;40;Permanent;49;Male;Divorced;MsC;Finance & Economics;Travel_Rarely;18;Management;5;Branch Manager;234024;Yes;Yes;3;17;Contributor B;5;1;31;5;3;31;3;0;9; ;39784;4;3;2;4;89;2;0;1;1;3;7;1;1;2;2;1;1;1
EMPLID006395;40;Permanent;24;Male;Married;BsC;Business Administration;Travel_Rarely;23;Local Branch;1;Financial Advisor;32700;Yes;Yes;2;11;Rising Star;7;1;6;3;3;6;4;1;4; ;327;2;2;4;2;43;45;0;1;1;4;5;1;5;1;2;1;3;2
EMPLID006415;40;Permanent;26;Male;Married;Associate's degree;Marketing & Sales;Travel_Rarely;28;Local Branch;2;Branch Representative;75264;Yes;No;4;20;Rising Star;4;1;10;5;4;9;8;1;4; ;5268;1;4;3;4;93;25;0;0;1;4;1;1;3;1;2;1;3;3
EMPLID006435;40;Temporary;24;Male;Married;Associate's degree;Other;Travel_Rarely;17;Local Branch;1;Call center agent;25524;Yes;No;4;21;Contributor B;3;1;1;2;3;1;1;0;0; ;1021;4;4;2;3;51;14;0;0;1;3;2;1;2;1;2;2;3;3
EMPLID006445;40;Temporary;50;Male;Married;BsC;Business Administration;Travel_Frequently;3;Management;5;Team Manager;218400;Yes;No;3;11;Contributor B;4;1;32;2;3;32;14;10;7; ;43680;1;3;3;3;61;8;0;0;1;3;8;3;5;1;2;2;1;2
EMPLID006455;40;Temporary;25;Male;Married;High school diploma;Business Administration;Travel_Rarely;13;Head office;1;Office Support function;25152;Yes;No;3;11;Contributor A;4;1;7;1;3;7;3;0;6; ;755;2;3;3;3;58;39;0;0;1;1;6;1;5;1;2;2;2;4
EMPLID006475;40;Temporary;24;Female;Married;BsC;Finance & Economics;Travel_Frequently;7;Local Branch;1;Call center agent;34632;Yes;Yes;3;16;Contributor B;8;1;16;4;3;16;15;1;2; ;1039;1;4;3;1;17;74;1;1;1;3;2;3;1;1;1;2;3;2
EMPLID006485;40;Temporary;30;Male;Married;MsC;Finance & Economics;Travel_Frequently;12;Head office;1;Office Support function;24396;Yes;No;2;18;Contributor B;2;1;8;2;4;8;7;0;0; ;488;2;3;2;1;7;74;1;0;1;3;6;3;1;1;2;2;2;1
EMPLID006495;40;Permanent;34;Male;Married;Associate's degree;Finance & Economics;Travel_Rarely;1;Local Branch;1;Financial Advisor;43464;Yes;Yes;3;13;Contributor B;5;1;6;3;3;6;1;1;3; ;869;2;4;2;1;16;20;0;1;1;3;5;1;1;1;2;1;3;3
EMPLID006505;40;Permanent;31;Male;Divorced;MsC;Business Administration;Travel_Rarely;13;Local Branch;2;Branch Representative;50796;Yes;No;3;17;Contributor A;7;2;12;2;1;6;5;1;2; ;4572;2;3;3;1;10;89;1;0;1;1;1;1;5;2;2;1;3;1
EMPLID006525;40;Permanent;35;Male;Single;Associate's degree;Other;Travel_Rarely;25;Local Branch;2;Call center agent;44172;Yes;No;3;14;Contributor A;7;4;13;3;3;7;6;0;2; ;2650;1;4;2;3;58;47;0;0;1;1;2;1;2;3;2;1;3;3
EMPLID006535;40;Permanent;31;Male;Divorced;MsC;Business Administration;Travel_Rarely;6;Local Branch;2;Branch Representative;65520;Yes;No;4;22;Rising Star;6;4;18;4;4;12;11;5;7; ;5897;1;4;4;3;59;18;0;0;1;4;1;1;5;2;2;1;3;1
EMPLID006555;40;Permanent;27;Female;Divorced;MsC;Business Administration;Travel_Rarely;6;Local Branch;1;Financial Advisor;26244;Yes;No;2;12;Rising Star;8;0;13;5;2;12;11;0;3; ;787;1;3;2;4;82;44;0;0;1;4;5;1;5;2;1;1;3;1
EMPLID006565;40;Permanent;37;Male;Married;BsC;Marketing & Sales;Travel_Rarely;2;Local Branch;2;Branch Representative;115224;Yes;Yes;3;11;Contributor B;5;4;17;3;2;3;3;1;0; ;9218;4;3;3;3;69;11;0;1;1;3;1;1;3;1;2;1;3;2
EMPLID006575;40;Permanent;20;Female;Single;BsC;Finance & Economics;Travel_Rarely;1;Local Branch;1;Financial Advisor;34032;Yes;No;3;13;Contributor A;9;1;12;0;4;12;11;0;0; ;1021;4;4;2;4;81;23;0;0;1;1;5;1;1;3;1;1;3;2
EMPLID006595;40;Permanent;42;Female;Married;MsC;IT & Operations;Travel_Rarely;2;Head office;2;IT developer;49068;Yes;No;3;13;Rising Star;7;1;10;4;3;10;8;2;2; ;4416;3;2;3;4;85;46;0;0;1;4;4;1;4;1;1;1;2;1
EMPLID006615;40;Permanent;43;Male;Divorced;MsC;Other;Travel_Rarely;6;Management;4;Branch Manager;199524;Yes;Yes;3;14;Contributor B;7;4;27;3;2;7;6;0;0; ;29929;2;3;2;4;93;19;0;1;1;3;7;1;2;2;2;1;1;1
EMPLID006625;40;Permanent;38;Female;Single;High school diploma;Finance & Economics;Travel_Rarely;1;Local Branch;1;Financial Advisor;31428;Yes;No;3;17;Contributor A;6;3;13;3;2;5;4;0;0; ;1257;3;4;3;3;65;20;0;0;1;1;5;1;1;3;1;1;3;4
EMPLID006635;40;Permanent;43;Male;Divorced;PhD;Business Administration;Travel_Frequently;9;Local Branch;2;Call center agent;68148;Yes;Yes;2;13;Contributor B;7;3;10;3;3;8;1;4;7; ;5452;4;2;3;2;46;48;0;1;1;3;2;3;5;2;2;1;3;5
EMPLID006645;40;Temporary;48;Female;Married;MsC;Finance & Economics;Travel_Rarely;1;Management;4;Team Manager;184824;Yes;No;3;11;Contributor B;7;7;29;3;1;11;10;0;2; ;25875;4;1;2;4;88;25;0;0;1;3;8;1;1;1;1;2;1;1
EMPLID006655;40;Temporary;44;Female;Single;MsC;Finance & Economics;Travel_Rarely;1;Head office;2;Human Resources;71820;Yes;No;3;11;Contributor A;7;4;10;1;4;2;1;0;2; ;2873;1;2;2;4;93;39;0;0;1;1;9;1;1;3;1;2;2;1
EMPLID006665;40;Permanent;34;Female;Divorced;BsC;IT & Operations;Travel_Rarely;14;Head office;1;Office Support function;30948;Yes;Yes;1;18;Rising Star;6;1;8;3;3;8;1;0;6; ;1238;3;4;3;2;36;20;0;1;1;4;6;1;4;2;1;1;2;2
EMPLID006675;40;Permanent;27;Male;Divorced;High school diploma;Marketing & Sales;Travel_Rarely;2;Head office;1;Office Support function;36492;Yes;No;3;11;Contributor B;6;0;12;3;3;11;10;0;2; ;1460;3;2;3;1;10;89;1;0;1;3;6;1;3;2;2;1;2;4
EMPLID006695;40;Permanent;21;Male;Single;High school diploma;IT & Operations;Travel_Rarely;22;Head office;1;Office Support function;41364;Yes;No;1;11;Contributor A;5;1;3;2;3;3;1;1;2; ;1241;3;3;3;4;97;23;0;0;1;1;6;1;4;3;2;1;2;4
EMPLID006715;40;Permanent;44;Male;Married;MsC;Other;Travel_Rarely;3;Management;5;Team Manager;234156;Yes;Yes;3;12;Contributor B;5;4;31;2;4;7;6;0;1; ;44490;4;1;3;4;97;47;0;1;1;3;8;1;2;1;2;1;1;1
EMPLID006755;40;Permanent;22;Male;Married;High school diploma;Business Administration;Travel_Rarely;6;Local Branch;1;Financial Advisor;33276;Yes;No;4;20;Contributor A;5;0;8;3;3;7;6;2;2; ;333;1;4;3;3;51;18;0;0;1;1;5;1;5;1;2;1;3;4
EMPLID006775;40;Permanent;33;Male;Divorced;MsC;Marketing & Sales;Travel_Rarely;8;Local Branch;2;Branch Representative;85248;Yes;No;3;12;Contributor A;8;0;6;3;3;5;4;1;2; ;3410;3;4;3;3;51;13;0;0;1;1;1;1;3;2;2;1;3;1
EMPLID006795;40;Permanent;32;Female;Married;MsC;Finance & Economics;Travel_Rarely;9;Local Branch;2;Financial Advisor;75864;Yes;Yes;1;12;Contributor B;4;1;14;2;2;14;13;0;5; ;5310;1;4;3;3;65;39;0;1;1;3;5;1;1;1;1;1;3;1
